"bil","nama_penuh","no_tel","pengguna_ic","emel","pekerjaan","pengguna_tempat_tugas","no_id","pengguna_peranan_bil","pengguna_peranan_nama","pengguna_status","pengguna_waktu"
"9","Hafiz","0173611546","880228095105","","","","","0","","","0000-00-00 00:00:00"
"12","Dashboard","dashboard","dashboard","","","","","0","","","0000-00-00 00:00:00"
"13","Pegawai Lapangan","pegawai_lapangan","pegawai_lapangan","","","","","0","","","0000-00-00 00:00:00"
"14","Urus Setia","urusetia","urusetia","","","","","4","Urusetia","","0000-00-00 00:00:00"
"15","admin","admin","admin","admin","admin","","","5","Admin","","0000-00-00 00:00:00"
"16","negeri1","laksajohor","negeri1","","","","","6","negeri1","","0000-00-00 00:00:00"
"17","negeri2","darulaman","negeri2","","","","","7","negeri2","","0000-00-00 00:00:00"
"18","negeri3","kotabharu","negeri3","","","","","8","negeri3","","0000-00-00 00:00:00"
"19","negeri4","kuihkeria","negeri4","","","","","9","negeri4","","0000-00-00 00:00:00"
"20","negeri5","musangking","negeri5","","","","","10","negeri5","","0000-00-00 00:00:00"
"21","negeri6","peraksejahtera","negeri6","","","","","11","negeri6","","0000-00-00 00:00:00"
"22","negeri7","arau","negeri7","","","","","12","negeri7","","0000-00-00 00:00:00"
"23","negeri8","jambatan","negeri8","","","","","13","negeri8","","0000-00-00 00:00:00"
"24","negeri9","bawahbayu","negeri9","","","","","14","negeri9","","0000-00-00 00:00:00"
"25","negeri10","kuching","negeri10","","","","","15","negeri10","","0000-00-00 00:00:00"
"26","negeri11","pantaimorib","negeri11","","","","","16","negeri11","","0000-00-00 00:00:00"
"27","negeri12","serimenanti","negeri12","","","","","17","negeri12","","0000-00-00 00:00:00"
"28","negeri13","penyu","negeri13","","","","","18","negeri13","","0000-00-00 00:00:00"
"29","negeri14","bukitbintang","negeri14","","","","","19","negeri14","","0000-00-00 00:00:00"
"30","negeri15","labuan","negeri15","","","","","20","negeri15","","0000-00-00 00:00:00"
"31","topone","topone","topone","topone","","","","21","topone","","0000-00-00 00:00:00"
"32","negeri16","masjidbesi","negeri16","negeri16@negeri16.com","","","","22","negeri16","","0000-00-00 00:00:00"
"33","ppd1","ppd1","ppd1","","","","","23","ppd1","","0000-00-00 00:00:00"
"34","ppd2","ppd2","ppd2","","","","","24","ppd2","","0000-00-00 00:00:00"
"35","ppd3","ppd3","ppd3","","","","","25","ppd3","","0000-00-00 00:00:00"
"36","ppd4","ppd4","ppd4","","","","","26","ppd4","","0000-00-00 00:00:00"
"37","ppd5","ppd5","ppd5","","","","","27","ppd5","","0000-00-00 00:00:00"
"38","ppd6","ppd6","ppd6","","","","","28","ppd6","","0000-00-00 00:00:00"
"39","ppd7","ppd7","ppd7","","","","","29","ppd7","","0000-00-00 00:00:00"
"40","ppd8","ppd8","ppd8","","","","","30","ppd8","","0000-00-00 00:00:00"
"41","ppd9","ppd9","ppd9","","","","","31","ppd9","","0000-00-00 00:00:00"
"42","ppd10","ppd10","ppd10","","","","","32","ppd10","","0000-00-00 00:00:00"
"43","ppd11","ppd11","ppd11","","","","","33","ppd11","","0000-00-00 00:00:00"
"44","ppd12","ppd12","ppd12","","","","","34","ppd12","","0000-00-00 00:00:00"
"45","ppd13","ppd13","ppd13","","","","","35","ppd13","","0000-00-00 00:00:00"
"46","ppd14","ppd14","ppd14","","","","","36","ppd14","","0000-00-00 00:00:00"
"47","ppd15","ppd15","ppd15","","","","","37","ppd15","","0000-00-00 00:00:00"
"48","ppd16","ppd16","ppd16","","","","","38","ppd16","","0000-00-00 00:00:00"
"49","ppd17","ppd17","ppd17","","","","","39","ppd17","","0000-00-00 00:00:00"
"50","ppd18","ppd18","ppd18","","","","","40","ppd18","","0000-00-00 00:00:00"
"51","ppd19","ppd19","ppd19","","","","","41","ppd19","","0000-00-00 00:00:00"
"52","ppd20","ppd20","ppd20","","","","","42","ppd20","","0000-00-00 00:00:00"
"53","ppd21","ppd21","ppd21","","","","","43","ppd21","","0000-00-00 00:00:00"
"54","ppd22","ppd22","ppd22","","","","","44","ppd22","","0000-00-00 00:00:00"
"55","ppd23","ppd23","ppd23","","","","","45","ppd23","","0000-00-00 00:00:00"
"56","ppd24","ppd24","ppd24","","","","","46","ppd24","","0000-00-00 00:00:00"
"57","ppd25","ppd25","ppd25","","","","","47","ppd25","","0000-00-00 00:00:00"
"58","ppd26","ppd26","ppd26","","","","","48","ppd26","","0000-00-00 00:00:00"
"59","ppd27","ppd27","ppd27","","","","","49","ppd27","","0000-00-00 00:00:00"
"60","ppd28","ppd28","ppd28","","","","","50","ppd28","","0000-00-00 00:00:00"
"61","ppd29","ppd29","ppd29","","","","","51","ppd29","","0000-00-00 00:00:00"
"62","ppd30","ppd30","ppd30","","","","","52","ppd30","","0000-00-00 00:00:00"
"63","ppd31","ppd31","ppd31","","","","","53","ppd31","","0000-00-00 00:00:00"
"64","ppd32","ppd32","ppd32","","","","","54","ppd32","","0000-00-00 00:00:00"
"65","ppd33","ppd33","ppd33","","","","","55","ppd33","","0000-00-00 00:00:00"
"66","ppd34","ppd34","ppd34","","","","","56","ppd34","","0000-00-00 00:00:00"
"67","ppd35","ppd35","ppd35","","","","","57","ppd35","","0000-00-00 00:00:00"
"68","ppd36","ppd36","ppd36","","","","","58","ppd36","","0000-00-00 00:00:00"
"69","ppd37","ppd37","ppd37","","","","","59","ppd37","","0000-00-00 00:00:00"
"70","ppd38","ppd38","ppd38","","","","","60","ppd38","","0000-00-00 00:00:00"
"71","ppd39","ppd39","ppd39","","","","","61","ppd39","","0000-00-00 00:00:00"
"72","ppd40","ppd40","ppd40","","","","","62","ppd40","","0000-00-00 00:00:00"
